Customer ID,TotalSpend,TotalOrders,TotalProducts,AverageOrderValue,FirstPurchase,LastPurchase,CustomerTenure,TenureMonths,PurchaseFrequencyPerMonth,AverageSpendPerProduct,AverageQuantityPerOrder,Recency,Churn
12346.0,-64.67999999999302,17,52,-1.3474999999998545,2009-12-14 08:34:00,2011-01-18 10:17:00,400,13.333333333333334,1.275,-1.2438461538460197,3.0588235294117645,325,1
12347.0,5633.32,8,3286,22.26608695652174,2010-10-31 14:20:00,2011-12-07 15:52:00,402,13.4,0.5970149253731343,1.7143396226415093,410.75,1,0
12348.0,2019.4,5,2714,39.59607843137256,2010-09-27 14:59:00,2011-09-25 13:13:00,362,12.066666666666666,0.4143646408839779,0.7440677966101695,542.8,74,0
12349.0,4404.54,5,1619,24.469666666666665,2009-12-04 12:49:00,2011-11-21 09:51:00,716,23.866666666666667,0.2094972067039106,2.720531192093885,323.8,18,0
12350.0,334.4,1,197,19.670588235294115,2011-02-02 16:01:00,2011-02-02 16:01:00,0,1.0,1.0,1.69746192893401,197.0,309,1
12351.0,300.93,1,261,14.33,2010-11-29 15:23:00,2010-11-29 15:23:00,0,1.0,1.0,1.1529885057471263,261.0,374,1
12352.0,1889.21,13,658,16.71867256637168,2010-11-12 10:20:00,2011-11-03 14:37:00,356,11.866666666666667,1.095505617977528,2.87113981762918,50.61538461538461,35,0
12353.0,406.76,2,212,16.948333333333334,2010-10-27 12:44:00,2011-05-19 17:47:00,204,6.8,0.2941176470588235,1.9186792452830188,106.0,203,1
12354.0,1079.4,1,530,18.610344827586207,2011-04-21 13:11:00,2011-04-21 13:11:00,0,1.0,1.0,2.036603773584906,530.0,231,1
12355.0,947.61,2,543,27.074571428571428,2010-05-21 11:59:00,2011-05-09 13:49:00,353,11.766666666666667,0.1699716713881019,1.7451381215469612,271.5,213,1
12356.0,6373.68,6,3417,44.57118881118881,2010-10-11 09:42:00,2011-11-17 08:40:00,401,13.366666666666667,0.4488778054862842,1.8652853380158037,569.5,22,0
12357.0,18287.66,3,6587,61.78263513513514,2010-11-16 10:05:00,2011-11-06 16:07:00,355,11.833333333333334,0.2535211267605634,2.7763260968574466,2195.6666666666665,32,0
12358.0,3887.07,5,1079,50.48142857142857,2009-12-08 07:59:00,2011-12-08 10:26:00,730,24.33333333333333,0.2054794520547945,3.602474513438369,215.8,1,0
12359.0,8714.89,14,2526,23.239706666666667,2009-12-05 13:32:00,2011-12-02 11:21:00,726,24.2,0.578512396694215,3.45007521773555,180.42857142857144,7,0
12360.0,4212.89,9,2458,19.325183486238533,2010-02-22 09:32:00,2011-10-18 15:22:00,603,20.1,0.4477611940298507,1.7139503661513429,273.1111111111111,51,0
12361.0,511.25,4,235,17.629310344827587,2010-01-26 14:37:00,2011-02-25 13:51:00,394,13.133333333333333,0.3045685279187817,2.175531914893617,58.75,286,1
12362.0,5284.58,14,2213,19.216654545454546,2009-12-01 10:10:00,2011-12-06 15:40:00,735,24.5,0.5714285714285714,2.387971079981925,158.07142857142858,2,0
12363.0,552.0,2,408,24.0,2011-04-11 13:29:00,2011-08-22 10:18:00,132,4.4,0.4545454545454545,1.3529411764705883,204.0,109,1
12364.0,1313.1,4,1506,15.448235294117646,2011-08-19 15:24:00,2011-12-02 10:22:00,104,3.466666666666667,1.1538461538461535,0.8719123505976095,376.5,7,0
12365.0,320.69,3,173,13.94304347826087,2011-02-21 13:51:00,2011-02-21 14:04:00,0,1.0,3.0,1.853699421965318,57.66666666666666,290,1
12366.0,500.24,1,296,166.74666666666667,2010-03-16 10:28:00,2010-03-16 10:28:00,0,1.0,1.0,1.69,296.0,633,1
12367.0,168.9,1,173,15.354545454545455,2011-12-05 16:48:00,2011-12-05 16:48:00,0,1.0,1.0,0.976300578034682,173.0,3,0
12368.0,917.7,1,330,50.98333333333333,2010-03-21 15:56:00,2010-03-21 15:56:00,0,1.0,1.0,2.780909090909091,330.0,627,1
12369.0,1791.15,3,1241,19.25967741935484,2010-03-08 08:09:00,2010-10-22 13:13:00,228,7.6,0.3947368421052631,1.4433118452860596,413.6666666666667,412,1
12370.0,4320.31,7,2605,21.387673267326736,2010-02-09 09:41:00,2011-10-19 14:51:00,617,20.566666666666663,0.3403565640194489,1.6584683301343572,372.1428571428572,50,0
12371.0,4067.38,5,1436,24.35556886227545,2010-03-04 18:23:00,2011-10-26 10:16:00,600,20.0,0.25,2.8324373259052926,287.2,44,0
12372.0,1298.04,3,794,24.962307692307693,2011-02-16 12:46:00,2011-09-29 12:12:00,224,7.466666666666667,0.4017857142857143,1.6348110831234255,264.6666666666667,71,0
12373.0,1127.65,3,516,22.11078431372549,2010-02-04 12:08:00,2011-02-01 13:10:00,362,12.066666666666666,0.2486187845303867,2.185368217054264,172.0,310,1
12374.0,2989.2200000000003,4,1362,36.01469879518073,2010-04-30 14:01:00,2011-11-14 15:37:00,563,18.766666666666666,0.2131438721136767,2.1947283406754776,340.5,24,0
12375.0,455.42,3,177,25.301111111111112,2011-09-02 14:23:00,2011-12-07 11:27:00,95,3.1666666666666665,0.9473684210526316,2.572994350282486,59.0,2,0
12376.0,503.15,2,240,38.70384615384615,2010-10-18 08:42:00,2010-11-15 12:15:00,28,0.9333333333333332,2.142857142857143,2.096458333333333,120.0,389,1
12377.0,3426.32,4,2105,22.54157894736842,2010-04-29 15:34:00,2011-01-28 15:45:00,274,9.133333333333333,0.437956204379562,1.627705463182898,526.25,314,1
12378.0,5416.32,2,3316,17.994418604651162,2010-05-26 14:07:00,2011-08-02 10:34:00,432,14.4,0.1388888888888889,1.6333896260554883,1658.0,129,1
12379.0,1618.27,5,814,19.735,2010-06-23 12:49:00,2011-09-19 10:09:00,452,15.066666666666666,0.331858407079646,1.988046683046683,162.8,81,0
12380.0,7888.0,15,3325,27.872791519434628,2010-02-15 12:05:00,2011-11-18 11:27:00,640,21.33333333333333,0.703125,2.3723308270676693,221.66666666666663,21,0
12381.0,1803.96,6,783,19.823736263736265,2011-08-12 09:57:00,2011-12-05 12:44:00,115,3.8333333333333335,1.5652173913043477,2.303908045977012,130.5,4,0
12382.0,-18.38,1,-1,-18.38,2010-01-26 16:25:00,2010-01-26 16:25:00,0,1.0,1.0,18.38,-1.0,681,1
12383.0,1839.31,6,1529,18.3931,2010-12-22 14:28:00,2011-06-08 08:02:00,167,5.566666666666666,1.0778443113772456,1.2029496402877695,254.83333333333331,184,1
12384.0,566.16,3,121,18.872,2011-08-10 11:23:00,2011-11-11 08:39:00,92,3.066666666666667,0.9782608695652172,4.6790082644628095,40.333333333333336,28,0
12385.0,1923.4,2,611,29.142424242424244,2010-11-25 15:14:00,2010-11-25 15:19:00,0,1.0,2.0,3.1479541734860885,305.5,378,1
12386.0,660.8,2,568,36.71111111111111,2010-12-08 09:53:00,2011-01-06 12:37:00,29,0.9666666666666668,2.0689655172413794,1.1633802816901408,284.0,337,1
12387.0,143.94,1,134,15.993333333333332,2010-10-20 16:27:00,2010-10-20 16:27:00,0,1.0,1.0,1.074179104477612,134.0,414,1
12388.0,3901.11,8,2001,26.71993150684932,2010-05-06 12:54:00,2011-11-24 12:30:00,566,18.866666666666667,0.4240282685512367,1.9495802098950523,250.125,15,0
12389.0,1433.33,3,614,29.251632653061225,2010-02-22 10:15:00,2010-11-02 11:52:00,253,8.433333333333334,0.3557312252964427,2.334413680781759,204.66666666666663,402,1
12390.0,549.84,1,353,17.1825,2011-09-21 09:33:00,2011-09-21 09:33:00,0,1.0,1.0,1.5576203966005666,353.0,79,0
12391.0,2747.82,7,1212,9.574285714285717,2010-02-15 10:12:00,2011-11-18 12:07:00,641,21.366666666666667,0.3276131045241809,2.2671782178217823,173.14285714285714,21,0
12392.0,234.75000000000003,1,73,33.53571428571429,2010-04-27 14:04:00,2010-04-27 14:04:00,0,1.0,1.0,3.2157534246575348,73.0,590,1
12393.0,2376.75,7,1305,21.220982142857142,2010-10-07 13:49:00,2011-09-28 15:41:00,356,11.866666666666667,0.5898876404494382,1.821264367816092,186.42857142857144,71,0
12394.0,1272.48,2,819,47.12888888888889,2011-05-06 14:01:00,2011-10-07 08:08:00,153,5.1,0.3921568627450981,1.5536996336996338,409.5,63,0
12395.0,5046.92,18,3728,19.637821011673157,2010-04-16 10:16:00,2011-11-24 12:20:00,587,19.566666666666663,0.919931856899489,1.3537875536480688,207.11111111111111,15,0
12396.0,931.43,1,591,14.329692307692309,2010-02-03 13:22:00,2010-02-03 13:22:00,0,1.0,1.0,1.5760236886632826,591.0,673,1
12397.0,2409.9,2,1263,19.12619047619048,2011-07-27 14:21:00,2011-11-04 09:52:00,99,3.3,0.6060606060606061,1.908076009501188,631.5,35,0
12398.0,1635.66,1,1394,19.243058823529413,2011-10-25 10:27:00,2011-10-25 10:27:00,0,1.0,1.0,1.1733572453371592,1394.0,45,0
12399.0,1962.3,7,2198,17.83909090909091,2010-03-05 08:45:00,2011-08-12 13:15:00,525,17.5,0.4,0.8927661510464058,314.0,118,1
12400.0,205.25,1,91,18.65909090909091,2010-10-21 13:45:00,2010-10-21 13:45:00,0,1.0,1.0,2.255494505494505,91.0,413,1
12401.0,84.3,1,11,16.86,2011-02-09 13:50:00,2011-02-09 13:50:00,0,1.0,1.0,7.663636363636363,11.0,302,1
12402.0,1244.15,7,583,17.52323943661972,2010-02-07 12:41:00,2011-01-20 13:49:00,347,11.566666666666666,0.6051873198847262,2.134048027444254,83.28571428571429,322,1
12403.0,1001.36,3,259,100.136,2010-07-06 11:39:00,2011-10-21 11:00:00,471,15.7,0.1910828025477707,3.8662548262548255,86.33333333333333,49,0
12404.0,63.24,1,1,63.24,2010-01-26 16:25:00,2010-01-26 16:25:00,0,1.0,1.0,63.24,1.0,681,1
12405.0,1710.39,1,857,31.67388888888889,2011-07-14 08:52:00,2011-07-14 08:52:00,0,1.0,1.0,1.9957876312718787,857.0,148,1
12406.0,6072.21,7,3383,35.71888235294118,2010-01-11 14:04:00,2011-11-17 19:22:00,675,22.5,0.3111111111111111,1.7949187112030742,483.2857142857143,21,0
12407.0,1708.12,5,1416,22.18337662337662,2011-03-20 13:21:00,2011-10-21 10:11:00,214,7.133333333333334,0.7009345794392523,1.2062994350282483,283.2,49,0
